 ;Ã„nderungen;Anzahl;Prozentsatz
1;1;16285;76.4339
2;2;3378;15.8547
3;3;620;2.91
4;4;572;2.6847
5;5;166;0.7791
6;6;60;0.2816
7;8;32;0.1502
8;7;28;0.1314
9;10;20;0.0939
10;11;15;0.0704
11;12;14;0.0657
12;9;14;0.0657
13;15;9;0.0422
14;19;6;0.0282
15;21;5;0.0235
16;18;5;0.0235
17;50;4;0.0188
18;49;4;0.0188
19;17;4;0.0188
20;13;3;0.0141
21;14;3;0.0141
22;42;2;0.0094
23;51;2;0.0094
24;46;2;0.0094
25;84;2;0.0094
26;24;2;0.0094
27;20;2;0.0094
28;16;2;0.0094
29;32;2;0.0094
30;44;1;0.0047
31;58;1;0.0047
32;45;1;0.0047
33;66;1;0.0047
34;105;1;0.0047
35;103;1;0.0047
36;29;1;0.0047
37;228;1;0.0047
38;28;1;0.0047
39;43;1;0.0047
40;86;1;0.0047
41;23;1;0.0047
42;221;1;0.0047
43;109;1;0.0047
44;53;1;0.0047
45;31;1;0.0047
46;175;1;0.0047
47;462;1;0.0047
48;54;1;0.0047
49;andere;24;0.1126
